internal_id,sign_id,numbering_system,description,parpola_id,wells_ids,mahadevan_ids,parpola_allographs,icit_function,corpus_freq,start_rate,end_rate,internal_rate,in_corpus,n_feature_dims
7b59e2cf-bb5a-5bca-a641-035450dff520,P278,parpola_1982,Square at bottom with vertical bar coming off top middle. Interior is the 'pincer' motif with two leaves at the middle,P278,W593,M251,V572,,0,0,0,0,False,0
6e6bb499-cc96-5c6f-a480-5e7b42b64aed,P279,parpola_1982,"Square at bottom with vertical bar coming off top middle, and two diagonals also coming from the bottom of the vertical bar",P279,,,V451,,0,0,0,0,False,0
2767b23e-4ecd-53aa-bc80-d1a910ba0508,P280,parpola_1982,"Box with vertical stroke off top center, horizontal striping",P280,W595,M252,V028|V256,,29,0.2759,0.1034,0.6207,True,1
664b7508-32e7-504b-9e75-f45e85edb94c,P281,parpola_1982,Vertical line with two small boxes attached to the top,P281,W611,M256,V358,,5,0.0,0.0,1.0,True,0
07a925b7-d158-5493-9a1c-59ac2e6aeb3b,P282,parpola_1982,"Box on top left, vertical extender from bottom left, horizontal extenders all along the right side",P282,W950,M170,V259,,0,0,0,0,False,0
8904940c-f5e8-5680-8564-af0320759c05,P283,parpola_1982,"Rectangle, but with bottom line missing, and bottom-half of left line missing (like backward greek capital gamma with a prominent serif)",P283,W440,M127,V031|V502,,37,0.027,0.2703,0.7027,True,0
62b68d79-ffcb-5b83-9fcd-08f917194260,P284,parpola_1982,"Backward capital Gamma with serif, small vertical stroke inside the area",P284,W443,M128,V477|V171,,0,0,0,0,False,1
6f449c36-3103-5a35-9cc6-7d37156063d2,P285,parpola_1982,"Trapezoid with no bottom line, bird-foot in bottom",P285,W572,M195,V049,,5,0.0,0.2,0.8,True,0
1c9473f3-565e-5e48-8117-7931e4e01a1f,P286,parpola_1982,"Trapezoid with no bottom line, bird-foot in bottom, 'table' hat",P286,W573,M196,V589,,0,0,0,0,False,1
5545681d-3f0b-5531-a265-ab73b13ac210,P287,parpola_1982,"Trapezoid with no bottom line, bird-foot in bottom. Two small vertical strokes on top",P287,,,V711,,0,0,0,0,False,0
14750511-305a-520b-8d3d-d953cd33a440,P288,parpola_1982,"Trapezoid with no bottom line, two short outward perpendiculars off bottom left and right and from top center, bird-foot in bottom",P288,,M194,V050|V683,,36,0.0278,0.0,0.9722,True,0
40aa0e9f-5306-5770-ac33-e542fc93f095,P289,parpola_1982,"Trapezoid with no bottom line, small box resting on the top middle",P289,W575,M197,V030|V261,,54,0.0185,0.3148,0.6667,True,1
08ed35a7-85ef-55ed-9086-b5c33f5e7864,P290,parpola_1982,"Tall table. Underside has a horizontal line enclosing the top part of the underside, with vertical hatches inside. Small box on top of the table.",P290,W578|W579,M198,V436,,3,0.0,1.0,0.0,True,2
35cefdaf-327c-58e5-b865-a79f7201c83d,P291,parpola_1982,"Tall table. Underside has a horizontal line enclosing the top part of the underside, with vertical hatches inside. Small box on top of the table. Left paren attached to left side, paren has small semicircle at center. Semicircle has diagonal continuing through the paren.",P291,,,V576,,0,0,0,0,False,0
fd9153c4-c7c9-5e57-a88d-b4b0da1bde0e,P292,parpola_1982,Tall table. Small decoration on top,P292,W570|W571,M199|M200,V371|V773,,0,0,0,0,False,1
994b77e5-8aa4-5732-a264-95a7f932aa1a,P293,parpola_1982,"Large 'H', possibly with top points connected by horizontal bar",P293,W315|W360,M199,V057|V055|V447,,8,0.125,0.625,0.25,True,1
f1737920-e6cc-50c5-88fe-951b782bf623,P294,parpola_1982,"Large 'H', possibly with top points connected by horizontal bar. Table for a hat.",P294,W361,M203,V334,,3,0.0,1.0,0.0,True,1
8d2988cd-e6db-54ac-a0b0-2dc39243f8c6,P295,parpola_1982,"Large 'H', possibly with top points connected by horizontal bar. Vertical lines come down from the crossbar.",P295,W318,M188,V279,,0,0,0,0,False,2
002714b1-78d9-55fb-bd8d-509b3a3b1fa1,P296,parpola_1982,"Two long vertical strokes, connected by multiple horizontal lines",P296,W317,M186,V056|V686,,8,0.375,0.625,0.0,True,1
33329178-3bec-5607-a53f-2680db9634aa,P297,parpola_1982,"Ladder motif. Two nearby vertical lines with a number of horizontal lines going across the middle, going the length of the verticals.",P297,,,V725,,0,0,0,0,False,1
00c698f5-0347-5c4b-9e73-02adc828d063,P298,parpola_1982,"An 'H', but the crossbar is multiple small boxes. Possibly with an upward tail coming from the bottom left",P298,W319,,V379|V704,,0,0,0,0,False,1
713a8a29-00c1-5f0c-ba63-4021d3de091f,P299,parpola_1982,"Two 'H's, but the crossbars are multiple small boxes. H's share one of the vertical lines.",P299,,M185,V444,,0,0,0,0,False,1
0a860de8-27d2-5fe0-9149-bcf5cba10bfb,P300,parpola_1982,"Two narrow vertical lines, three diagonals connecting them. Tail coming horizontally off top, right edge has a thin triangle sharing part of the edge",P300,,M187,V270|V333,,1,0.0,0.0,1.0,True,0
6edb783a-875f-5c33-85d6-ed692ebe42fa,P301,parpola_1982,"Small box with horizontal hatching, vertical lines coming from top left and bottom right corners",P301,W526|W527,M254,V041|V479,,65,0.8923,0.0308,0.0769,True,2
32ca34b5-99b0-5c8a-a2a8-766d1eb70219,P302,parpola_1982,"Box in center. Vertical lines coming from top left and right. Vertical coming from bottom right, extended by a horizontal at the bottom.",P302,W363,M255,V567,,0,0,0,0,False,0
a91c1252-4299-5bc5-b7b2-9acbdaca1d18,P303,parpola_1982,"H with two horizontal bars across the middle, with vertical lines dropping down from the crossbar",P303,W322|W323|W324|W325,M182,V275|V519,,17,0.0,0.2353,0.7647,True,3
66dfaa1f-de0d-5f1e-b249-18e63082c154,P304,parpola_1982,"H with two horizontal bars across the middle, with vertical lines dropping down from the crossbar. All connected by a short diagonal to a tall vertical stroke on left",P304,W321,M183,V079|V800,,0,0,0,0,False,3
87ceb880-30af-5f5c-9a10-03f0c5ac9b97,P305,parpola_1982,"Long horizontal at bottom, multiple vertical lines coming off for the entire length",P305,W420,M189,V058|V716,,0,0,0,0,False,1
6dcd12ae-8264-5dc9-8af8-fbd7618654d1,P306,parpola_1982,"Long horizontal at bottom, multiple vertical lines coming off for the entire length. Each vertical decorated near top, low horizontal is made of abutting small rectangles, possibly decorated",P306,W421|W422|W423|W425|W426|W427|W428|W429|W430,M190,V080|V474,,0,0,0,0,False,2
