id,heading,series,subseries,set,tablenumber,provenience,year,context,chronology1,n_signs,signs_ws_joined
3690,KN X 9413 + fr. (-),X,-,-,9413,,,,-,3,sup. mut. si-j̣ạ
3691,KN Od 9414 (-),O,d,-,9414,,,,-,4,LANA 2̣2 LANA 13
3692,KN Od 9415 (-),O,d,-,9415,,,,-,5,2̣ 3̣ Ṃ inf. mut.
3693,KN Od 9416 + 9557 (-),O,d,-,9416,,,,-,6,sup. mut. 4 M ḶẠṆẠ 3̣
3694,KN Dk(1) 9418 (120?),D,k,1,9418,,,,LM IIIA1 or LM IIIA2 or LM IIIB,2,6 LANA
3695,KN Dk(1) 9419 + fr. (120?),D,k,1,9419,,,,LM IIIA1 or LM IIIA2 or LM IIIB,3,ỌṾỊṢ:m LANA 10
3696,KN Dk(1) 9420 (120?),D,k,1,9420,,,,LM IIIA1 or LM IIIA2 or LM IIIB,5,sup. mut. LANA 4̣0 ọ
3697,KN Od 9421 (-),O,d,-,9421,,,,-,5,ḶẠṆẠ Ṃ 1 inf. mut.
3698,KN Dk(1) 9422 (120?),D,k,1,9422,,,,LM IIIA1 or LM IIIA2 or LM IIIB,4,6 o LANA 7
3699,KN Se 9423 (-),S,e,-,9423,,,,-,4,C̣ỤṚ 1̣ inf. mut.
3700,KN X 9424 (-),X,-,-,9424,,,,-,1,qa-ṃọ
3701,KN U 9425 (-),U,-,-,9425,,,,-,2,WA 5
3702,KN L 9426 + 9475 + fr. (-),L,-,-,9426,,,,-,6,ṬẸḶẠ;2̣ 3 ṬẸḶẠ;x 3 inf. mut.
3703,KN X 9427 (-),X,-,-,9427,,,,-,3,ṇị- inf. mut.
3704,KN X 9429 (-),X,-,-,9429,,,,-,3,sup. mut. ̣p̣ụ-ṇạ
3705,KN X 9430 (-),X,-,-,9430,,,,-,1,e-ṛạ
3706,KN X 9431 (-),X,-,-,9431,,,,-,1,e-
3707,KN Dk(1) 9434 (120?),D,k,1,9434,,,,LM IIIA1 or LM IIIA2 or LM IIIB,7,sup. mut. .A sa-ma .B -jo ḳọ-ma-ẉẹ
3708,KN X 9435 (-),X,-,-,9435,,,,-,3,j̣ọ inf. mut.
3709,KN X 9436 (-),X,-,-,9436,,,,-,4,jo-jo inf. mut. v.
3710,KN X 9437 (-),X,-,-,9437,,,,-,6,.A ̣ vest. .B ̣ọ-p̣ị ko-
3711,KN X 9438 (-),X,-,-,9438,,,,-,3,ko- inf. mut.
3712,KN X 9439 (-),X,-,-,9439,,,,-,3,sup. mut. ḳị
3713,KN X 9440 (-),X,-,-,9440,,,,-,3,sup. mut. ḳị
3714,KN Dk(1) 9441 (120?),D,k,1,9441,,,,LM IIIA1 or LM IIIA2 or LM IIIB,4,LANA 1̣0̣ inf. mut.
3715,KN X 9442 (-),X,-,-,9442,,,,-,1,ku
3716,KN X 9443 (-),X,-,-,9443,,,,-,2,ku-ṭạ -ṣụ
3717,KN X 9444 (-),X,-,-,9444,,,,-,3,ma-ja-ṭọ inf. mut.
3718,KN Od 9445 (-),O,d,-,9445,,,,-,4,1 o ḶẠṆẠ 1̣
3719,KN X 9446 + fr. (-),X,-,-,9446,,,,-,3,sup. mut. q̣ạ
3720,KN X 9447 + 9537 + fr. (-),X,-,-,9447,,,,-,2,-na- vest.
3721,KN X 9448 (-),X,-,-,9448,,,,-,3,sup. mut. ṇị-ja
3722,KN X 9449 + frr.(4) (-),X,-,-,9449,,,,-,3,ru-ḳị inf. mut.
3723,KN X 9450 (-),X,-,-,9450,,,,-,3,sup. mut. ta
3724,KN X 9451 (-),X,-,-,9451,,,,-,3,ti-ṛạ inf. mut.
3725,KN X 9452 (-),X,-,-,9452,,,,-,3,ṛị-ti inf. mut.
3726,KN X 9453 (-),X,-,-,9453,,,,-,3,q̣ạ inf. mut.
3727,KN Ai(4) 9454 + frr. (205),A,i,4,9454,,,,-,4,sup. mut. ko-wa v.
3728,KN X 9455 (-),X,-,-,9455,,,,-,3,sup. mut. ẉạ
3729,KN D 9456 (-),D,-,-,9456,,,,-,3,vest. we-e ỌṾỊṢ:ṃ
3730,KN X 9457 (-),X,-,-,9457,,,,-,4,sup. mut. vest. v.
3731,KN X 9458 (-),X,-,-,9458,,,,-,7,sup. mut. 1̣0̣0̣ v.↓ sup. mut. vest.
3732,KN X 9462 (-),X,-,-,9462,,,,-,3,sup. mut. ṂỤḶ
3733,KN X 9463 (-),X,-,-,9463,,,,-,6,sup. mut. ḳọ-ẉọ 1̣ inf. mut.
3734,KN X 9464 (-),X,-,-,9464,,,,-,5,sup. mut. ṛị inf. mut.
3735,KN X 9465 (-),X,-,-,9465,,,,-,4,zo-ạ ka- inf. mut.
3736,KN X 9466 (-),X,-,-,9466,,,,-,5,sup. mut. 7̣4̣ inf. mut.
3737,KN X 9467 (-),X,-,-,9467,,,,-,4,sup. mut. vac. 30
3738,KN X 9468 (-),X,-,-,9468,,,,-,1,2̣0̣
3739,KN X 9469 (-),X,-,-,9469,,,,-,5,sup. mut. 1̣0̣0̣0̣ inf. mut.
3740,KN X 9470 + 10040 + 10041 + frr. (-),X,-,-,9470,,,,-,3,4 inf. mut.
3741,KN X 9471 (-),X,-,-,9471,,,,-,1,23
3742,KN X 9472 (-),X,-,-,9472,,,,-,3,sup. mut. -ṣọ
3743,KN X 9473 (-),X,-,-,9473,,,,-,1,1̣0̣
3744,KN X 9474 (-),X,-,-,9474,,,,-,1,3
3745,KN Ak(2) 9477 + 9529 + 10035 + frr.(9) (108?),A,k,2,9477,,,,LM IIIA2 or LM IIIB,4,4 ụ-j̣ọ-ẹ inf. mut.
3746,KN Ai(4) 9478 + 9490 + frr.(9) (205?),A,i,4,9478,,,,-,3,ko-]wo 5 vac.
3747,KN Ai(4) 9479 + frr.(10) (205??),A,i,4,9479,,,,-,1,-so
3748,KN Ai(4) 9480 + fr. (205),A,i,4,9480,,,,-,1,ị-j̣ạ-ṇị
3749,KN Ai(4) 9481 + fr. (205),A,i,4,9481,,,,-,1,vest.
3751,KN X 9484 + frr.(3) (-),X,-,-,9484,,,,-,3,sup. mut. 2̣0̣
3752,KN X 9486 (-),X,-,-,9486,,,,-,3,6̣ inf. mut.
3753,KN X 9489 (-),X,-,-,9489,,,,-,5,sup. mut. vest. inf. mut.
3754,KN X 9491 + 9496 + frr.(3) (-),X,-,-,9491,,,,-,3,sup. mut. vest.
3755,KN X 9492 (-),X,-,-,9492,,,,-,3,sup. mut. vac.
3756,KN X 9493 (-),X,-,-,9493,,,,-,3,sup. mut. vest.
3757,KN X 9494 + fr. (-),X,-,-,9494,,,,-,3,sup. mut. vest.
3758,KN X 9495 + fr. (-),X,-,-,9495,,,,-,3,sup. mut. vest.
3759,KN X 9497 (-),X,-,-,9497,,,,-,5,sup. mut. deest inf. mut.
3760,KN Ak 9499 (-),A,k,-,9499,,,,-,3,ṂỤḶ inf. mut.
3761,KN Ak 9500 (-),A,k,-,9500,,,,-,4,ṂỤḶ 1̣ inf. mut.
3762,KN Ai 9501 (-),A,i,-,9501,,,,-,4,1̣0̣ MUL 1 ko
3763,KN Ai(4) 9502 (205),A,i,4,9502,,,,-,5,lat. sup. MUL inf. mut.
3764,KN Ai 9503 (-),A,i,-,9503,,,,-,4,G̣ṚẠ 1̣0̣ inf. mut.
3765,KN Ai 9505 (-),A,i,-,9505,,,,-,3,G̣ṚẠ T 5
3766,KN Ai(4) 9506 + 9488(b) (205),A,i,4,9506,,,,-,3,sup. mut. ḳọ
3767,KN Ai(4) 9507 (205),A,i,4,9507,,,,-,5,sup. mut. ḳọ inf. mut.
3768,KN Ai(4) 9508 (205),A,i,4,9508,,,,-,5,sup. mut. ko-wa inf. mut.
3769,KN Ai 9509 (-),A,i,-,9509,,,,-,5,1 ko-wa 1 inf. mut.
3770,KN Ai(4) 9510 (205),A,i,4,9510,,,,-,2,ko-ẉạ 3̣
3771,KN Ai 9512 (-),A,i,-,9512,,,,-,4,sup. mut. 1̣0̣ ko-ẉọ
3772,KN Ai 9513 (-),A,i,-,9513,,,,-,2,ko-]wo 1
3773,KN Ai(4) 9514 (205),A,i,4,9514,,,,-,5,1̣ Ṭ 6 inf. mut.
3774,KN Ai(4) 9515 (205),A,i,4,9515,,,,-,3,2 inf. mut.
3775,KN Ai(4) 9516 (205),A,i,4,9516,,,,-,3,sup. mut. 1
3776,KN Ai(4) 9517 (205),A,i,4,9517,,,,-,3,sup. mut. 2̣
3777,KN X 9519 (-),X,-,-,9519,,,,-,3,-*65-no inf. mut.
3778,KN Se 9520 (-),S,e,-,9520,,,,-,4,C̣ỤṚ 2̣ lat. inf.
3779,KN X 9521 (-),X,-,-,9521,,,,-,3,ạ-j̣ạ inf. mut.
3780,KN X 9523 + fr. (-),X,-,-,9523,,,,-,5,sup. mut. ̣ṭị inf. mut.
3781,KN X 9524 (-),X,-,-,9524,,,,-,5,sup. mut. ḍụ inf. mut.
3782,KN X 9525 + fr. (-),X,-,-,9525,,,,-,6,sup. mut. vest. vac. inf. mut.
3783,KN X 9527 (-),X,-,-,9527,,,,-,5,sup. mut. ja- inf. mut.
3784,KN X 9530 + frr.(3) (-),X,-,-,9530,,,,-,3,ko inf. mut.
3785,KN X 9531 (-),X,-,-,9531,,,,-,5,sup. mut. ḳọ inf. mut.
3786,KN Ai 9532 + 9546 + fr. (-),A,i,-,9532,,,,-,5,sup. mut. ko-]ẉạ 1̣ ḳọ[-wo
3787,KN X 9533 (-),X,-,-,9533,,,,-,4,sup. mut. 1̣ ḳọ-
3788,KN X 9535 (-),X,-,-,9535,,,,-,3,sup. mut. ḳụ
3789,KN Ai(4) 9536 (205),A,i,4,9536,,,,-,3,ṇạ inf. mut.
3791,KN X 9538 (-),X,-,-,9538,,,,-,3,sup. mut. p̣ạ-
3792,KN X 9539 (-),X,-,-,9539,,,,-,3,sup. mut. vest.
3793,KN X 9540 + 9547 + 10051 + frr.(11) (-),X,-,-,9540,,,,-,1,e-se
3794,KN X 9541 (-),X,-,-,9541,,,,-,5,sup. mut. vest. inf. mut.
3795,KN X 9542 (-),X,-,-,9542,,,,-,5,sup. mut. ṛị-ṭạ inf. mut.
3796,KN X 9543 (-),X,-,-,9543,,,,-,6,sup. mut. wa vest. inf. mut.
3797,KN X 9544 (-),X,-,-,9544,,,,-,5,sup. mut. ẉạ inf. mut.
3798,KN Ak 9545 + frr. (-),A,k,-,9545,,,,-,5,sup. mut. ḳọ-wa inf. mut.
3799,KN X 9548 (-),X,-,-,9548,,,,-,3,sup. mut. 1̣
3800,KN X 9549 (-),X,-,-,9549,,,,-,1,1̣
3801,KN X 9550 (-),X,-,-,9550,,,,-,3,4̣ inf. mut.
3802,KN X 9551 (-),X,-,-,9551,,,,-,5,sup. mut. 2̣ inf. mut.
3803,KN X 9552 (-),X,-,-,9552,,,,-,6,sup. mut. 1̣0̣ vac. inf. mut.
3804,KN X 9553 (-),X,-,-,9553,,,,-,3,1̣1̣ inf. mut.
3805,KN X 9555 (-),X,-,-,9555,,,,-,5,sup. mut. vest. inf. mut.
3806,KN X 9556 (-),X,-,-,9556,,,,-,3,sup. mut. vest.
3807,KN X 9558 + frr.(3) (-),X,-,-,9558,,,,-,3,X inf. mut.
3808,KN Dv 9559 + 9636 + fr. (117),D,v,-,9559,,,,LM IIIA2 or LM IIIB,4,sup. mut. vest. vest.
3809,KN X 9561 (-),X,-,-,9561,,,,-,5,sup. mut. vest. inf. mut.
3810,KN X 9562 (-),X,-,-,9562,,,,-,4,vac. vac. inf. mut.
3811,KN X 9563 (-),X,-,-,9563,,,,-,6,sup. mut. vac. vac. inf. mut.
3812,KN X 9564 (-),X,-,-,9564,,,,-,1,vacat
3813,KN X 9565 (-),X,-,-,9565,,,,-,3,vacat inf. mut.
3814,KN X 9566 (-),X,-,-,9566,,,,-,3,sup. mut. vacat
3815,KN Dv 9567 + 9662 (117),D,v,-,9567,,,,LM IIIA2 or LM IIIB,7,sup. mut. ẉẹ OVIS:m 30 inf. mut.
3816,KN Dv 9568 (117?),D,v,-,9568,,,,LM IIIA2 or LM IIIB,6,sup. mut. .A vac. .B pa-ị[-to
3817,KN Dv 9569 + frr.(3) (117),D,v,-,9569,,,,LM IIIA2 or LM IIIB,6,.A p̣ạ OVIS:m 10 .B vac.
3818,KN Dv 9570 (117),D,v,-,9570,,,,LM IIIA2 or LM IIIB,3,OVIS:x inf. mut.
3819,KN Dv 9571 (117?),D,v,-,9571,,,,LM IIIA2 or LM IIIB,3,2 inf. mut.
3820,KN Dv 9572 + fr. (117),D,v,-,9572,,,,LM IIIA2 or LM IIIB,6,sup. mut. .A ỌṾỊṢ:x .B vest.
3821,KN Dv 9573 (117),D,v,-,9573,,,,LM IIIA2 or LM IIIB,5,1 OVIS:f 2̣0̣ inf. mut.
3822,KN Dv 9574 (117),D,v,-,9574,,,,LM IIIA2 or LM IIIB,7,.A 1̣ OVIS:f 32[̣ .B OVIS:m 6
3823,KN Dv 9576 + fr. (117),D,v,-,9576,,,,LM IIIA2 or LM IIIB,3,sup. mut. vest.
3824,KN Dv 9577 (117),D,v,-,9577,,,,LM IIIA2 or LM IIIB,4,.A vac. .B vac.
3825,KN X 9578 (-),X,-,-,9578,,,,-,3,1̣20 inf. mut.
3826,KN Dv 9579 (117?),D,v,-,9579,,,,LM IIIA2 or LM IIIB,5,sup. mut. 70 inf. mut.
3827,KN Dv 9580 (117?),D,v,-,9580,,,,LM IIIA2 or LM IIIB,5,sup. mut. 2 inf. mut.
3828,KN Dv 9581 + fr. (117?),D,v,-,9581,,,,LM IIIA2 or LM IIIB,3,sup. mut. vac.
3829,KN X 9582 (-),X,-,-,9582,,,,-,6,sup. mut. .A 2̣ .B vac.
3830,KN X 9583 (-),X,-,-,9583,,,,-,8,sup. mut. .A vest. .B vac. inf. mut.
3831,KN Dv 9585 (117?),D,v,-,9585,,,,LM IIIA2 or LM IIIB,6,sup. mut. .A vac. .B vac.
3832,KN Dv 9586 (117?),D,v,-,9586,,,,LM IIIA2 or LM IIIB,5,sup. mut. *5̣6̣ inf. mut.
3833,KN Dv 9587 (117?),D,v,-,9587,,,,LM IIIA2 or LM IIIB,3,ḍạ-nwa inf. mut.
3834,KN Dv 9588 + fr. (117?),D,v,-,9588,,,,LM IIIA2 or LM IIIB,1,du
3835,KN X 9589 (-),X,-,-,9589,,,,-,8,sup. mut. .A 6̣0 .B vac. inf. mut.
3836,KN Dv 9590 (117),D,v,-,9590,,,,LM IIIA2 or LM IIIB,1,pu-ko
3837,KN Dv 9591 (117),D,v,-,9591,,,,LM IIIA2 or LM IIIB,6,sup. mut. no pa-ị[-to inf. mut.
3838,KN Dv 9593 (117?),D,v,-,9593,,,,LM IIIA2 or LM IIIB,1,pa-na
3839,KN Dv 9594 (117),D,v,-,9594,,,,LM IIIA2 or LM IIIB,3,-qo inf. mut.
3840,KN Dv 9595 (117),D,v,-,9595,,,,LM IIIA2 or LM IIIB,1,̣ra-pa
3841,KN Dv 9596 (117),D,v,-,9596,,,,LM IIIA2 or LM IIIB,1,̣so-ṃọ
3842,KN X 9597 (-),X,-,-,9597,,,,-,3,sup. mut. ḍạ-ẉọ
3843,KN X 9598 (-),X,-,-,9598,,,,-,3,sup. mut. ṛọ2
3844,KN Dv 9599 (117?),D,v,-,9599,,,,LM IIIA2 or LM IIIB,6,sup. mut. .A vac. .B do-]ṭị-ja
3845,KN Dv 9600 (117),D,v,-,9600,,,,LM IIIA2 or LM IIIB,7,sup. mut. vest. ẉẹ-ma-na ỌṾỊṢ:x inf. mut.
3846,KN Dv 9601 (117),D,v,-,9601,,,,LM IIIA2 or LM IIIB,5,sup. mut. -no-to inf. mut.
3847,KN Dv 9602 (117),D,v,-,9602,,,,LM IIIA2 or LM IIIB,4,sup. mut. vest. qa-ṛạ
3848,KN Dv 9603 + 9658 + fr. (117),D,v,-,9603,,,,LM IIIA2 or LM IIIB,8,sup. mut. .A -ra-to .B vest. inf. mut.
3849,KN Dv 9604 + 9637 (117),D,v,-,9604,,,,LM IIIA2 or LM IIIB,6,sup. mut. ṛạ p̣ạ inf. mut.
3850,KN Dv 9605 (117),D,v,-,9605,,,,LM IIIA2 or LM IIIB,4,sup. mut. vest. tu-ni[-ja
3851,KN X 9606 (-),X,-,-,9606,,,,-,3,we-we-si-jo inf. mut.
3852,KN Wb(1) 9607 (117?),W,b,1,9607,,,,LM IIIA2 or LM IIIB,6,sup. mut. ki-ri-j̣ọ[-te e-]ḳọ-so inf. mut.
3853,KN Wb(1) 9608 (117?),W,b,1,9608,,,,LM IIIA2 or LM IIIB,3,sup. mut. ḍạ-ẉọ
3854,KN Wb(1) 9609 (117?),W,b,1,9609,,,,LM IIIA2 or LM IIIB,4,"sup. mut. -jo ,̣"
3855,KN Wb(1) 9610 (117?),W,b,1,9610,,,,LM IIIA2 or LM IIIB,5,sup. mut. *5̣6̣ inf. mut.
3856,KN Wb(1) 9611 (117?),W,b,1,9611,,,,LM IIIA2 or LM IIIB,5,sup. mut. vest. inf. mut.
3857,KN Wb(1) 9612 (117?),W,b,1,9612,,,,LM IIIA2 or LM IIIB,5,sup. mut. ẹ inf. mut.
3858,KN Wb(1) 9613 (117?),W,b,1,9613,,,,LM IIIA2 or LM IIIB,3,j̣ọ inf. mut.
3859,KN Dv 9614 (117),D,v,-,9614,,,,LM IIIA2 or LM IIIB,1,deest
3860,KN Dv 9615 (117),D,v,-,9615,,,,LM IIIA2 or LM IIIB,5,sup. mut. deest inf. mut.
3861,KN Dv 9616 (117),D,v,-,9616,,,,LM IIIA2 or LM IIIB,4,sup. mut. p̣ạ OVIS:m
3862,KN Dv 9617 (117),D,v,-,9617,,,,LM IIIA2 or LM IIIB,7,sup. mut. .A 2̣ ỌṾỊṢ:f̣ .B vest.
3863,KN Dv 9618 + frr. (117),D,v,-,9618,,,,LM IIIA2 or LM IIIB,2,vest. vest.
3864,KN Dv 9619 (117),D,v,-,9619,,,,LM IIIA2 or LM IIIB,3,sup. mut. vest.
3865,KN Dv 9620 (117),D,v,-,9620,,,,LM IIIA2 or LM IIIB,3,sup. mut. vest.
3866,KN Dv 9621 (117),D,v,-,9621,,,,LM IIIA2 or LM IIIB,3,sup. mut. ̣vest.
3867,KN Dv 9622 (117),D,v,-,9622,,,,LM IIIA2 or LM IIIB,3,sup. mut. vest.
3868,KN Dv 9623 (117),D,v,-,9623,,,,LM IIIA2 or LM IIIB,3,sup. mut. vac.
3869,KN Dv 9624 (117),D,v,-,9624,,,,LM IIIA2 or LM IIIB,5,sup. mut. vest. inf. mut.
3870,KN Dv 9625 (117),D,v,-,9625,,,,LM IIIA2 or LM IIIB,5,sup. mut. ḳị inf. mut.
3871,KN Dv 9626 (117),D,v,-,9626,,,,LM IIIA2 or LM IIIB,3,sup. mut. ṭọ
3872,KN Dv 9627 (117),D,v,-,9627,,,,LM IIIA2 or LM IIIB,5,sup. mut. vest. inf. mut.
3873,KN Dv 9628 + 9663 (117),D,v,-,9628,,,,LM IIIA2 or LM IIIB,5,sup. mut. -ṭị inf. mut.
3874,KN Dv 9629 (117),D,v,-,9629,,,,LM IIIA2 or LM IIIB,5,sup. mut. vest. inf. mut.
3875,KN Dv 9630 (117),D,v,-,9630,,,,LM IIIA2 or LM IIIB,3,sup. mut. vest.
3876,KN Dv 9632 (117),D,v,-,9632,,,,LM IIIA2 or LM IIIB,3,ṭạ2 inf. mut.
3877,KN Dv 9633 (117),D,v,-,9633,,,,LM IIIA2 or LM IIIB,5,sup. mut. vest. lat. inf.
3878,KN Dv 9634 (117),D,v,-,9634,,,,LM IIIA2 or LM IIIB,3,sup. mut. vest.
3879,KN Dv 9635 (117),D,v,-,9635,,,,LM IIIA2 or LM IIIB,3,vest. inf. mut.
3880,KN Dv 9638 (117),D,v,-,9638,,,,LM IIIA2 or LM IIIB,8,sup. mut. .A vac. .B vac. inf. mut.
3881,KN Dv 9639 (117),D,v,-,9639,,,,LM IIIA2 or LM IIIB,8,sup. mut. .A vac. .B vac. inf. mut.
3882,KN Dv 9640 (117),D,v,-,9640,,,,LM IIIA2 or LM IIIB,8,sup. mut. .A vac. .B vac. inf. mut.
3883,KN Dv 9641 (117),D,v,-,9641,,,,LM IIIA2 or LM IIIB,3,1̣0̣ inf. mut.
3884,KN Dv 9642 (117),D,v,-,9642,,,,LM IIIA2 or LM IIIB,5,sup. mut. 2̣ inf. mut.
3885,KN Dv 9643 (117),D,v,-,9643,,,,LM IIIA2 or LM IIIB,5,sup. mut. 2̣ inf. mut.
3886,KN Dv 9644 (117),D,v,-,9644,,,,LM IIIA2 or LM IIIB,5,sup. mut. 2̣ inf. mut.
3887,KN Dv 9645 (117),D,v,-,9645,,,,LM IIIA2 or LM IIIB,5,sup. mut. 2̣ inf. mut.
3888,KN Dv 9646 (117),D,v,-,9646,,,,LM IIIA2 or LM IIIB,1,vac.
3889,KN Dv 9647 (117),D,v,-,9647,,,,LM IIIA2 or LM IIIB,1,deest
3890,KN Dv 9648 (117),D,v,-,9648,,,,LM IIIA2 or LM IIIB,3,sup. mut. vac.
3891,KN Dv 9649 (117),D,v,-,9649,,,,LM IIIA2 or LM IIIB,4,.A vac. .B vac.
3892,KN Dv 9650 (117),D,v,-,9650,,,,LM IIIA2 or LM IIIB,4,.A vac. .B vac.
3893,KN Dv 9651 (117),D,v,-,9651,,,,LM IIIA2 or LM IIIB,4,.A vac. .B vac.
3894,KN Dv 9652 (117),D,v,-,9652,,,,LM IIIA2 or LM IIIB,6,.A 1̣ .B vac. inf. mut.
3895,KN Dv 9653 (117),D,v,-,9653,,,,LM IIIA2 or LM IIIB,5,.A sup. mut. .B vac.[̣
3896,KN Dv 9655 (117),D,v,-,9655,,,,LM IIIA2 or LM IIIB,5,sup. mut. vest. inf. mut.
3897,KN Dv 9657 (117),D,v,-,9657,,,,LM IIIA2 or LM IIIB,8,sup. mut. .A vest. .B vest. inf. mut.
3898,KN Dv 9659 (117),D,v,-,9659,,,,LM IIIA2 or LM IIIB,5,sup. mut. vest. inf. mut.
3899,KN Dv 9661 (117),D,v,-,9661,,,,LM IIIA2 or LM IIIB,3,vest. inf. mut.
3900,KN Dv 10017 (117),D,v,-,10017,,,,LM IIIA2 or LM IIIB,1,o-
3901,KN Bk 9665 (104?),B,k,-,9665,,,,LM IIIA1 or LM IIIA2 or LM IIIB,6,sup. mut. vac. ṾỊṚ inf. mut.
3902,KN Cg 9666 + fr. (109?),C,g,-,9666,,,,LM IIIA1 or LM IIIA2 or LM IIIB,4,SUS:x 1 inf. mut.
3903,KN Dl(1) 9667 + 9768 (118?),D,l,1,9667,,,,LM IIIA1 or LM IIIA2 or LM IIIB,5,.A OVIS:f .B ki OVIS:x
3904,KN Do 9668 + frr. (106),D,o,-,9668,,,,LM IIIA1 or LM IIIA2 or LM IIIB,5,sup. mut. ki za OVIS:m
3905,KN X 9669 (-),X,-,-,9669,,,,-,3,-j̣ạ ṣị-jo ẹ-ma-a2
3906,KN L 9670 (-),L,-,-,9670,,,,-,2,-nu-ḳạ vac.
3907,KN X 9671 (-),X,-,-,9671,,,,-,3,sup. mut. ma-
3908,KN X 9672 (-),X,-,-,9672,,,,-,2,u-ṭạ-ja vac.
3909,KN Od 9673 (-),O,d,-,9673,,,,-,4,sup. mut. 70 LANA
3910,KN X 9674 (-),X,-,-,9674,,,,-,3,we-ke ị pe-ma
3911,KN Od 9675 [+] 9889 (-),O,d,-,9675,,,,-,6,LANA 4 LANA 2̣ inf. mut.
3912,KN Np(2) 9676 + frr.(3) (134),N,p,2,9676,,,,LM IIIA1 or LM IIIA2 or LM IIIB,1,CROC
3913,KN Np(2) 9678 (134),N,p,2,9678,,,,LM IIIA1 or LM IIIA2 or LM IIIB,3,ọ P 10
3914,KN Og 9679 (-),O,g,-,9679,,,,-,3,N 2 P
3915,KN Bg 9680 + frr. (137),B,g,-,9680,,,,LM IIIA1 or LM IIIA2 or LM IIIB,2,M 2
3916,KN Og 9681 (-),O,g,-,9681,,,,-,9,sup. mut. 6̣ M 20 Q̣ 1̣ inf. mut.
3917,KN Ra(2) 9682 (127),R,a,2,9682,,,,LM IIIA1 or LM IIIA2 or LM IIIB,6,PUG 10 GUP 2 inf. mut.
3918,KN X 9683 + fr. (-),X,-,-,9683,,,,-,3,sup. mut. p̣ị-
3919,KN Uf(3) 9684 + fr. (123?),U,f,3,9684,,,,LM IIIA1 or LM IIIA2 or LM IIIB,4,ḌẠ 1̣1̣ PA 2
3920,KN X 9685 (-),X,-,-,9685,,,,-,6,sup. mut. -ṛọ-j̣ọ- vest. inf. mut.
3921,KN X 9686 + 9699 + 9801 (-),X,-,-,9686,,,,-,8,sup. mut. vest. ṭạ p̣ị a inf. mut.
3922,KN X 9687 + 9847 (-),X,-,-,9687,,,,-,1,a-ṃạ
3923,KN X 9688 (-),X,-,-,9688,,,,-,4,sup. mut. vest. a-mu-
3924,KN Vf 9689 (125?),V,f,-,9689,,,,LM IIIA1 or LM IIIA2 or LM IIIB,3,a- inf. mut.
3925,KN X 9690 (-),X,-,-,9690,,,,-,1,a-wa
3926,KN X 9691 + 9812 + 9838 + frr. (-),X,-,-,9691,,,,-,1,da-*22-ti
3927,KN X 9692 (-),X,-,-,9692,,,,-,3,ḍạ- inf. mut.
3928,KN Vf 9693 + fr. (125?),V,f,-,9693,,,,LM IIIA1 or LM IIIA2 or LM IIIB,5,sup. mut. vest. inf. mut.
3929,KN X 9694 + fr. (-),X,-,-,9694,,,,-,3,pu- inf. mut.
3930,KN Bk 9695 + 9778 + frr.(10) (104),B,k,-,9695,,,,LM IIIA1 or LM IIIA2 or LM IIIB,6,sup. mut. ka-wi- a3-du-ṛọ inf. mut.
3931,KN X 9696 (-),X,-,-,9696,,,,-,3,sup. mut. ḍụ-
3932,KN X 9697 (-),X,-,-,9697,,,,-,3,sup. mut. ḍụ
3933,KN X 9698 (-),X,-,-,9698,,,,-,1,-ạ3
3934,KN X 9700 (-),X,-,-,9700,,,,-,3,j̣ạ inf. mut.
3935,KN X 9701 + fr. (-),X,-,-,9701,,,,-,3,ja inf. mut.
3936,KN X 9702 (-),X,-,-,9702,,,,-,3,sup. mut. jo
3937,KN X 9703 (-),X,-,-,9703,,,,-,5,"-jo-j̣ọ ,̣ vac. inf. mut."
3938,KN X 9704 (-),X,-,-,9704,,,,-,3,sup. mut. ka
3939,KN X 9705 + fr. (-),X,-,-,9705,,,,-,3,sup. mut. ka
3940,KN Se 9707 (127?),S,e,-,9707,,,,LM IIIA1 or LM IIIA2 or LM IIIB,3,sup. mut. ạ3-ki-ṇọ[-o
3941,KN Ra(2) 9708 (127?),R,a,2,9708,,,,LM IIIA1 or LM IIIA2 or LM IIIB,3,ḳẹ-ra inf. mut.
3942,KN X 9709 + fr. (-),X,-,-,9709,,,,-,5,sup. mut. ḳọ inf. mut.
3943,KN X 9710 (-),X,-,-,9710,,,,-,3,ẉẹ-ja inf. mut.
3944,KN Dk(1) 9711 (120?),D,k,1,9711,,,,LM IIIA1 or LM IIIA2 or LM IIIB,3,ko-ma-we-to inf. mut.
3945,KN X 9713 (-),X,-,-,9713,,,,-,3,ḳụ-ṇạ inf. mut.
3946,KN Vf 9715 (125?),V,f,-,9715,,,,LM IIIA1 or LM IIIA2 or LM IIIB,5,.A mu-ta- .B inf. mut.
3947,KN Dl(1a) 9716 + 9762 + 9775 + fr. (118),D,l,1a,9716,,,,LM IIIA1 or LM IIIA2 or LM IIIB,7,.A po-]ṭị-ni-ja-ẉẹ-j̣ọ ỌṾỊṢ[̣:f .B ọ ki ỌṾỊṢ[:m
3948,KN X 9717 + frr. (-),X,-,-,9717,,,,-,3,wa-no inf. mut.
3949,KN X 9718 (-),X,-,-,9718,,,,-,3,ṇọ inf. mut.
3950,KN Od 9719 (-),O,d,-,9719,,,,-,5,sup. mut. 2 o ḶẠṆẠ
