id,heading,series,subseries,set,tablenumber,provenience,year,context,chronology1,n_signs,signs_ws_joined
1292,KN Dd 1418 [+] 5268 (117),D,d,-,1418,,,,LM IIIA2 or LM IIIB,9,.A 3̣ OVIS:f 40 .B po-ri- pa OVIS:m 1̣
1293,KN Dc 1419 + 5078 (117),D,c,-,1419,,,,LM IIIA2 or LM IIIB,8,.A OVIS:m 42 pe OVIS:m 58 .B da-*83-jo
1294,KN Da 1420 + 7149 + 7241 + fr. (117),D,a,-,1420,,,,LM IIIA2 or LM IIIB,5,we-we-si-jo da-ja-ro ru-ki-to OVIS:m 160
1295,KN Dv 1422 (117),D,v,-,1422,,,,LM IIIA2 or LM IIIB,5,.A OVIS[:m .B *56-ro2 ṣụ
1296,KN Db 1423 + 5320 (117),D,b,-,1423,,,,LM IIIA2 or LM IIIB,8,.A OVIS:m 87 OVIS:f 13 .B *56-ri-to ru-ki-to
1297,KN De 1424 + 5023 (117),D,e,-,1424,,,,LM IIIA2 or LM IIIB,11,.A OVIS:m 57 OVIS:f 42 .B ja-ra-to q̣ạ-ra o OVIS:m 1
1298,KN Dd 1425 + 5388 + fr. (117),D,d,-,1425,,,,LM IIIA2 or LM IIIB,10,.A OVIS:m 80 OVIS:f 16 .B ke-*83-*18 pa OVIS:m 4
1299,KN Db 1426 + 5847 + 7225 (117),D,b,-,1426,,,,LM IIIA2 or LM IIIB,8,.A OVIS:m 8̣8̣ OVIS:f 12 .B de-ke-se-u do-ti-ja
1300,KN Dv 1427 (117),D,v,-,1427,,,,LM IIIA2 or LM IIIB,4,.A pe-ri[-qo-te-jo .B ke-me-u
1301,KN Dd 1429 + 5264 + 5327 (117),D,d,-,1429,,,,LM IIIA2 or LM IIIB,12,.A u-ta-jo OVIS:m 54 OVIS:f 43 .B za-ra-ro pa-i-to pa OVIS:m 3
1302,KN Dv 1430 + 7200 + 8410 + fr. (117),D,v,-,1430,,,,LM IIIA2 or LM IIIB,10,.A we-we-si-jo OVIS:m 5̣8̣ OVIS:f .B do-ro da-ra-ko OVIS:m 3̣0
1303,KN X 1432 (-),X,-,-,1432,,,,-,2,si-jo-jo te-pa
1304,KN Dv 1434 + 5691 (117),D,v,-,1434,,,,LM IIIA2 or LM IIIB,3,o-pa-we- me-ki-ti ma-no-we
1305,KN Da 1435 + 2023 + 7220 (117),D,a,-,1435,,,,LM IIIA2 or LM IIIB,4,ki-ki-jo ku-ta-to OVIS:m 100
1306,KN Dv 1436 (117),D,v,-,1436,,,,LM IIIA2 or LM IIIB,1,ki-sa
1307,KN Dg 1438 + 1604 + 5387 (117),D,g,-,1438,,,,LM IIIA2 or LM IIIB,14,.A OVIS[:m 50 OVIS:f 15 .B ru-ma-no ṣụ-ri-mo pa OVIS:m 2 pe OVIS:m 3
1308,KN Dv 1439 (117),D,v,-,1439,,,,LM IIIA2 or LM IIIB,3,te-ṛạ[-po-si-jo ru-na-so qa
1309,KN Dv 1442 (117),D,v,-,1442,,,,LM IIIA2 or LM IIIB,1,ru-na-so
1310,KN Da 1445 + 5807 (117),D,a,-,1445,,,,LM IIIA2 or LM IIIB,5,.A OVIS:m 100 .B wa-du-ka-sa-ro
1311,KN Dv 1447 + 7258 + 8379 (117),D,v,-,1447,,,,LM IIIA2 or LM IIIB,2,i-je-ro e-ko-so
1312,KN Db 1449 + 5714 (117),D,b,-,1449,,,,LM IIIA2 or LM IIIB,8,.A OVIS:m 58̣ OVIS:f 2 .B ka-ni-to vest.
1313,KN Dv 1450 + 7270 + frr. (117),D,v,-,1450,,,,LM IIIA2 or LM IIIB,5,.A OVIS:m .B ka-sa-ro vest.
1314,KN Da 1451 + 8377 + 8399 + fr. (117),D,a,-,1451,,,,LM IIIA2 or LM IIIB,4,ka-jo ku-ta-to OVIS:m 100
1315,KN Dv 1457 (117),D,v,-,1457,,,,LM IIIA2 or LM IIIB,4,.A ẉẹ .B ra-ne-to
1316,KN Dv 1459 + fr. (117),D,v,-,1459,,,,LM IIIA2 or LM IIIB,1,ra-wo
1317,KN Db 1460 + 1610 + 7150 (117),D,b,-,1460,,,,LM IIIA2 or LM IIIB,7,u-ta-jo ma-di-qo da-wo OVIS:m 67 OVIS:f 33
1318,KN Da 1461 + 7091 (117),D,a,-,1461,,,,LM IIIA2 or LM IIIB,4,ma-ri-ti-wi-jo *5̣6̣-ko-we OVIS:m 100
1319,KN Dv 1462 + 5279 + 5585 (117),D,v,-,1462,,,,LM IIIA2 or LM IIIB,10,.A OVIS:m 84 OVIS:f 14 .B a-wo-i-jo ri-jo-no OVIS:m 2
1320,KN X 1463 (-),X,-,-,1463,,,,-,2,a-ra-si-jo a
1321,KN Db 1464 + 7070 (117),D,b,-,1464,,,,LM IIIA2 or LM IIIB,10,.A we-we-si-jo-jo OVIS:m 38 OVIS:f 62 .B a-nu-ko pa-i-to ḳị-ṛị-jo-te
1322,KN Dv 1466 (117),D,v,-,1466,,,,LM IIIA2 or LM IIIB,6,.A OVIS:m 40 .B a-ze-ta e-ṛạ
1323,KN Dd 1468 + 5210 + 7123 (117),D,d,-,1468,,,,LM IIIA2 or LM IIIB,8,a-te-i-ja-ta ku-ta-to OVIS:m 40 OVIS:f 52̣ pa OVIS:m
1324,KN Df 1469 + 1584 + fr. (117),D,f,-,1469,,,,LM IIIA2 or LM IIIB,11,.A OVIS:m 70 OVIS:f 3 .B a-si-wi-jo ru-ki-to pe OVIS:m 17
1325,KN Dv 1470 (117),D,v,-,1470,,,,LM IIIA2 or LM IIIB,1,a-ti-j̣ọ
1326,KN Dd 1471 + 5404 (117),D,d,-,1471,,,,LM IIIA2 or LM IIIB,11,.A OVIS:m 4̣2 OVIS:f 5̣4 .B a-na-ki-ti ra-ṭọ p̣ạ OVIS:m 4
1327,KN De 1472 + 5353 + 5380 + 5420 + 5517 (117),D,e,-,1472,,,,LM IIIA2 or LM IIIB,11,.A OVIS:m 5 OVIS:f 21 .B a-ko-mo-ni-jo ku-ta-to o OVIS:m 20
1328,KN E 7338 (234?),E,-,-,7338,,,,-,2,GRA 100
1329,KN X 1478 (-),X,-,-,1478,,,,-,1,ṭạ-u-na-
1330,KN Dv 1479 + 7269 + 8419 + fr. (117),D,v,-,1479,,,,LM IIIA2 or LM IIIB,4,to-u-na-ta ḍọ-ṭị[-ja OVIS:m 5̣0
1331,KN Da 1485 + 2022 + 5197 (117),D,a,-,1485,,,,LM IIIA2 or LM IIIB,4,ki-sa-nu-mo ri-jo-no OVIS:m 100
1332,KN Dv 1487 (117?),D,v,-,1487,,,,LM IIIA2 or LM IIIB,1,ko-no-si-ja
1333,KN Dv 1490 (117),D,v,-,1490,,,,LM IIIA2 or LM IIIB,2,qa-si-da-ro ku-ṭạ[-to
1334,KN Dk(2) 1491 (119),D,k,2,1491,,,,LM IIIA2 or LM IIIB,1,̣wa-du-na-ro
1335,KN Dv 1492 + 7099 (117),D,v,-,1492,,,,LM IIIA2 or LM IIIB,8,.A OVIS:m 86 OVIS:f 4 .B wo-*65-ṛọ ru-ki-ṭọ
1336,KN Dv 1493 + 7248 + 7885 + frr.(3) (117),D,v,-,1493,,,,LM IIIA2 or LM IIIB,4,ọ-ta2-no qa-na-no-to OVIS:m 6̣0
