entry_id,page,languages,n_languages,n_forms,raw_text
25,22,"Te.,Ta.,Ka.",3,8,"Ta. akkili-pikkili confusion, confusion of mind (loc.). Ka. akkulisu to fear, flinch, withdraw. Te. akkilipadu to be confused, bewildered, DEEDS 3. akki"
26,275,"Skt.,Tu.,Te.,Ta.,Ma.,Ka.,To.,Ko.,Kod.",9,33,"Ta. kil joint in animal body, hinge; kilam nail, pin, spike; kilakam pin, bolt, wedge, joint. Ma. kil a joint; kilam wedge, bolt, nail. Ko. ki-el hinge of jaw, hinge of door. To. ki+s handle (of pot, spoon, axe, knife, etc.); ku-l hinge of box. Ka. kil, kilu pin, peg, joint, device, contrivance; kila stake, peg, bolt, wedge. Kod. ki-li a fasten- ing, screw-fastening of necklace. Tu. kily, kily joint, hinge, peg, wooden fastening. Te. kilu joint, hinge, device, contrivance; kilincu to fasten, attach, lock, join; kilamu wedge, pin; cila an iron nail, a wooden pin. /Turner, CDIAL, no. 3202, Skt. kila- stake, pin, peg, bolt, wedge, elbow; kilaka- pin, bolt, wedge. DED 1346."
27,22,"Skt.,Tu.,Te.,Ta.,Ma.,Ka.",6,14,"Ka. afiga way, manner, mode. Te, angu, (K., coll.) haigu manner, way. DED 29. 28 Ta, aikanam space between two pillars. Ka, atkana space either between any two posts or pillars in a wall that supports the roof, or between any two beams. Ju. anhkana space between two crossbeams or pillars supporting a roof. Te, ankanamu space between any two beams or pillars. / ? Skt. DED 30. .29 Ta. ahkam battle, fight. Ma. ahkam fight, battle, duel, challenge. Ka. atika fight, war. Tu. afka fight, war, cock-fight. Te. ankakadu a quarrelsome man. / Cf. Skt. (lex.) aiika- fight, mimic war or conflict. DED 31."
28,275,"Pkt.,Skt.,Tu.,Te.,Ta.,Ma.,To.,Ko.,Kod.,Go.,Kuwi,Pe.,Kol.",13,17,"Ta. kumpalam wax-gourd; kummatti, kommafti a small water-melon, Citrullus: cucumber, Cucumis trigonus. Ma. kumpalam Cucurbita pepo; kumpalatia pumpkin; kum- mafti Cucumis colocynthis. Ko. kubalm (obl. kubalt-) sp. pumpkin. To. kubil kovy pumpkin; kim gourd. Ka, kumbala pumpkin gourd, Benincasa cerifera, Savi. Kod. kum- bala pumpkin. Tu. kumbuda pumpkin or gourd, Cucurbita Lagenaria; kumbava pump- kin or gourd. Te. gummadi Cucurbita maxima, C. pepo. Kol. (Kin.) kovre pumpkin. Nk. (Ch) kumbare id. Go. (Mu.) kumod, gumod, (Ma.) kumur(i), (S.) kommar, (Ko.) gumoy id. (Voc. 765). Konda gummandi id. Pe. kumda id. Kuwi (Su.) kumda, (Isr.) kumda, kumpda id. Malt, kumde id. / Skt. kifsmanda(ka)- Beninkasa cerifera, kumbha- phala- Cucurbita pepo; Pali kumbhanda- a kind of gourd; Pkt. kumhanda-, kumbhanda- gourd; Beng. Or. kumy® sp. gourd; Turner, CDIAL, no. 3374. [Six species: Cucurbita maxima Duchesne; C. Pepo D.C.; Lagenaria vulgaris Seringe = Cucurbita Lagenaria Linn.; Benincasa cerifera Savi = Cucurbita pepo Lour. and Roxb.; Cucumis trigonus Roxb.; Citrullus colocynthis Schrad. = Cucumis colocynthis Linn.| DED(S) 1455."
29,275,"Pkt.,Skt.,Ta.",3,7,"Ta. ktjam blacksmith’s sledge, hammer, Ma, kittam heavy hammer. / Turner, CD/AL, no. 3391, Skt. kifa-, Pkt. ktlda-; for IE etymology, Burrow, BSOAS 34.550 (1971). From DED 1391. ."
30,275,"Tu.,Go.,Kol.",3,3,"Tu. kulligé the buttocks. Kol. (Kin.) kila buttock; (SR.) kuld hip. Go. (A. Mu.) kOla, (Ma.) kulla, (G. Hislop) kula buttock (Voc. 835); (ASu.) kala id. / Turner, CDIAL, no. 3353, *kulla-. DED(S, N) 1585."
31,275,"Pkt.,Skt.,Tu.,Te.,Ta.,Ma.,Ka.,To.,Ko.",9,19,"Ta. keccai, keccam tinkling anklet. Ma. kecea little tinkling bells worn by danc- ing girls or hunting dogs. Ko. gej anklet with bells. To. kij, Gin songs) kijil fal, kizil fal, kijwiy fal bells tied to the ankles while danc- ing; kij-fal hollow bangle with small bits inside which rattle; kij idad tinkling (in songs). Ka. gejje, gajje small spherical bell enclosing smalf bits of stone or metal. Kod, gejje small bell. Tu. gejja, gejjé, gajjé small round bell, tinkling ornament. Kor, (O.) gegge small, tinkling bells. Te. gaijiya, gajje small bell or tinkling ornament; gajjelu (p/) anklet or girdle of small bells. /Pkt. (DNA) gejjala- neck-ornament; Apabhramsa (Maha- purana) gijja-, gejja- a chain or neck-ornament for elephants, glossed as griva-kgudra-ghantika ‘necklace of small bells for the neck’ and ghugghuravali ‘string of bells’ (Turner, CDIAL, no. 4477, to which add Skt. ghugghura-), which show that it consisted of bells (some of the NIA words in Turner refer to anklets of bells); Turner, CDIAL, no. 4389, has Mar. gyaj string of bells round neck of buffalo, which he derives from Skt. *grivajya- neck string. Skt. graiveya(ka)- > Pkt. gevejja- (egertia is possible for the Dr. forms. DED"
32,275,"Tu.,Te.,Ta.,Ma.,Ka.,Go.,Kui,Kuwi,Pe.",9,17,"Ta. kufari, kofari, kotali axe. Ma. kofali, kotali id. Ka. kodali id. Tu. kodari, kudart id. Te. goddali, (VPK) goddeli, god- dali, goddétu, godali id. Kol golli, SR) goli id. Nk. gholi id. Nk. (Ch.) kodli id. Go. (M. Ko.) godel id. (Voce. 1193). Konda gorel(i) id. Pe. ktrel axe (large variety). Kui kradi (2? for kradi) axe. Kuwi (Su.) kr@li, Csr.) kra7li, (S.) gia’li large axe. / Turner, CDIAL, no. 3244, kufhdra-, kughari- (Beng. Or. forms have I for 1); cf. Burrow, BSOAS 35.541. DED(S, N) 1702."
33,22,"Malt.,Skt.,Tu.,Te.,Ma.,Ka.,To.,Ko.,Kod.,Pa.,Go.,Kuwi,Kol.,Kur.",14,22,"Ka. angala, angalu, arigula, ariguli, anhgule palate; (UNR) aagilu, nafigilu uvula. Te. angili palate. Nk. (Ch.) aygul, angur(u) tongue. Malt. naqiu uvula. DED(S) 35. 34 Ta, ahka (-pp- -tt-) to open the mouth; n. opening the mouth; ankappu opening the mouth, thirsting. Ko. anga-v- (anga-t) to look upwards. Ka, (Bark.) angata having the face turned upwards. Tu. afigavuni to yawn, gape, open the mouth; afguni to open the mouth, be seized with a fit of yawning. Kol. angasi a yawn. Nk, angasi id. Pa, analp- (ayalt-) to gape, open the mouth wide. Go. (G.) anil-/ani- to open mouth; (Ma.) angal gaping, yawning; (M.) anglind to yawn; (Mu.) alng-/alin- to open (mouth); caus. alngh-/aingih- (Voc. 14). Mand, anla- to open mouth.Kui angalanga with mouth agape, with foolish appearance, foolishly, crazily; angali ava/giva to open the mouth wide, gape. Kuwi (F) angalacali to gape; (Su.) angala’- (angalat-) to gape, open Kur. angal angal with one’s mouth open (in surprise); angina, aygla’anad to gape, open the [5] acar mouth wide, be open. Malt. angle to gape; anglo open-mouthed. DED(S) 36.” 35 Ta, ahkati bazaar, bazaar street. Ma. afihati shop, bazaar. Ko. anga-dy id. To. ogody bazaar (? <Badaga). Ka. angadi shop, stall. Kod. angadi id. Tu, angadi id. Te. angadi id. Kol. angadi bazaar. Nk. angari id. Nk. (Ch.) angar market. Pa. angod court- yard, compound. /? Cf. Skt. afigana- court- yard. DED(S) 37."
34,275,"Skt.,Tu.,Te.,Ta.,Ma.,Ka.,To.",7,12,"Ta. kovanam man’s loin-cloth. Ma. Kovanam, kdnam cloth worn over the privities. To. kwi-n perineal cloth. Ka. kovana small piece of cloth worn over the privities, the pudenda. Tu. kdvana, k6mana id. Te. govanamu, gopamu, gonamu strip of cloth worn over the privities. / Skt. kaupina- small piece .of cloth worn over the privities by poor persons, the pudenda, Pali BHS kopina- pudenda. DED 1860."
