id,site,signs,pdr_reading,sanskrit,translation_yaj,coverage
122.1,Daimabad,M324,kur,ref:26.1,,1.0
123.1,Desalpur,M324 M154 M324 M058 M062 M013 M385,kur-kur-kur-ke-erutu-nakaram-kur,rata mama madana,O my pleased[BhP] Kāma[Mbh],1.0
124.1,Desalpur,M276 M086 M355 M283,kur-oru-lu-kur,pra-rava,O loud Roarer[प्र-√रु अच्],1.0
125.1,Desalpur,M394 M032 M002 M182 M324,kur-koL-kuṉ-kur-kur,ana-DvasrI,O who holds decaying[RV ध्वस्र इनि] of breath/Prāṇa[ŚBr],1.0
127.1,Dholavira,M001 M182 M032,tōḷ-kur-koL,sadaya,O merciful one[SkandaP: N. of Vishnu],1.0
128.1,Dholavira,M004 M019,kēḷ-ampu,naya,O leader (of army)[R; senāpati:Sri Rudram],1.0
129.1,Dholavira,M093 M808,eTTu-ōṭu,tA,The Roarer[√तन् nms],1.0
130.1,Dholavira,M065 M342 M324 M381 M050 M095 M364 M002 M385,kuTam-ay/ā-kur-kur-pār-vē-kur-kuṉ-kur,rava Sata-maraRa-Basa,Roarer[रु] devourer[भस्] of hundred[RV] deaths[AitUp],1.0
131.1,Dholavira,M217 M215 M495,kur-kur-iṭ,aDana,O one without wealth[Sri Rudram दरिद्र],1.0
132.1,Dholavira,M324 M095 M002 M385,kur-vē-kuṉ-kur,rava-tana,O Roaring[√रु अच्] pervader[√तन् अच्],1.0
133.1,Dholavira,M217 M215,kur-kur,Dana,O treasure[RV],1.0
134.1,Dholavira,M004 M110 M320 M316,kēḷ-kur-kur-kur,anDa-vaya,O one who drives[√अज् अच्] away darkness(literally as the Sun and spiritually)[R],1.0
135.1,Dholavira,M276 M086 M355 M032,kur-oru-lu-koL,hara-rava,"O Seizer[MBh], O Roarer[√रु अच्]",1.0
136.1,Dholavira,M086 M016 M002 M385,oru-kaḷiṟu-kuṉ-kur,rava-hara,O roaring[√रु अच्] Seizer[MBh],1.0
137.1,Dholavira,M268 M031,kur-kai,anan,One who breathes[√अन् शतृ RV 10.129.2],1.0
138.1,Dholavira,M217 M033 M316 M058,kur-puli-kur-ke,maYjana,O roar one[√मञ्ज् ल्युट्],1.0
139.1,Dholavira,M324 M009 M086 M276,kur-āṇ-oru-kur,varAn,The most excellent ones[MBh],1.0
144.1,Dholavira,M230 M821 M031 M645 M355 M378 M110 M281 M378,kur-uḷ-kai-pa-lu-kur-kur-piLLai-kur,raka-vara-raka-araraH,gem[W] of chosen[MBh] gems entrance[Mcar],1.0
145.1,Dholavira,M001 M111 M031 M002 M385,tōḷ-kur-kai-kuṉ-kur,rava aBaya,"O Roarer[√रु अच्], O fearless one[ŚBr][two names of Śiva]",1.0
149.1,Farmana,M062 M050,erutu-pār,mama,my[RV],1.0
150.1,Farmana,M324 M332 445,kur-intu-[445],parRa,O green foliage[RV; SR:harikeśa],0.667
151.1,Farmana,M050 M032,pār-koL,ref:28.1,,1.0
153.1,Farmana,M086 M108,oru-kaL,kara,O creator[AV],1.0
153.2,Farmana,M086 M108,oru-kaL,ref:153.1,,1.0
157.1,Gharo Bhiro,M324 M175 M838,kur-katir-kur,hAna,O destroyer[Bhartṛ; √हा क्त; agentive AA 3.3.174],1.0
158.1,Gola Dhoro (Bagasra),M051 M011 M893 M385,pū/puḷ-kaḷiṟu-ta-kur,fdDa-datta-nAman,The sign[RV] of ṛddha-datta(Name: prosperous-given)[√ऋध् क्त],1.0
159.1,Gumla,M349,kur,da,O generous one[MS],1.0
162.2,Harappa,M033 M073,puli-kōṉ,maja,O Roarer[√मज् अच्],1.0
170.1,Harappa,M301 M324 914,kur-kur-[914],cAnam,The Injurer[√चन् अच्],0.667
173.1,Harappa,M050 M016,pār-kaḷiṟu,ref:151.1,,1.0
176.1,Harappa,M060 M033,kāṇṭāmirukam-puli,jAm,The destroyer[√जै अच्],1.0
179.1,Harappa,M090,aintu,A,The who breathes[√अन् nms],1.0
181.1,Harappa,M324 M031,kur-kai,ref:26.1,,1.0
182.1,Harappa,M004,kēḷ,yaH,The heat maker[√यस् क्विप्],1.0
190.1,Harappa,M062,erutu,ref:250.1,,1.0
193.1,Harappa,M697 M276,kol-kur,vAna-anana,O blown[वन् अच्] breath (Prāna)[√अन् शतृ; T],1.0
194.1,Harappa,M697 M510,kol-um,Una anan,O Small one[AV =kṣulla=Rudra]; O one who breathes[RV 10.129.2],1.0
195.1,Harappa,M697 722,kol-[722],dAna anan,O bountiful one[RV 7.27.4]; O one who breathes[RV 10.129.2],0.5
198.1,Harappa,M324 M603 M062 M060 M256,kur-al-erutu-kāṇṭāmirukam-kur,kam mAna,The excellent[TS] honored[MBh] one,1.0
198.2,Harappa,M310 M034,kur-tōḷ,caRa,O Injurer[√चण् अच्],1.0
199.1,Harappa,M217 M050 M062 M230 M060 M256,kur-pār-erutu-kur-kāṇṭāmirukam-kur,kaMsa-mammana,O destroying[√कंस् अच्] ever meditating one[√मन् यङि अच्](Rudra),1.0
201.1,Harappa,M256,kur,ka,O Prajāpati[RV; VS; TS],1.0
202.1,Harappa,M324 M710 M017,kur-iṭ-kai,Sam naH,Bless us[RV],1.0
205.1,Harappa,M324 M055 M364,kur-miN3-kur,sajjana,O good one[Mn; SR: Śiva],1.0
207.2,Harappa,M310,kur,ref:26.1,,1.0
212.1,Harappa,M310 M033,kur-puli,jana,O Generator[RV],1.0
217.1,Harappa,M090 M324 M062 M050,aintu-kur-erutu-pār,mamAna,May I worship[√मान् लिट् 1s],1.0
218.2,Harappa,M033 M720,puli-iṭam,rajaH,O mist[SR: reṣmiya],1.0
220.1,Harappa,M098 M004 M283 M050,āl-kēḷ-kur-pār,sam-payI,The one with complete[RV] power[RV],1.0
221.1,Harappa,M217 M050 M092,kur-pār-elu,tman,O ātman (Supreme self)[RV],1.0
222.1,Harappa,M824 M032 M578 M092,māṉ-koL-il-elu,tama-hara,Destroyer[MBh] of darkness[AV],1.0
222.2,Harappa,M324 714 M349 M799,kur-[714]-kur-āl,A-saha-Daran,O mighty[RV] Bearer[धृ शतृ],0.75
222.3,Harappa,M310 M034,kur-tōḷ,ref:198.2,,1.0
224.1,Harappa,M324,kur,ref:122.1,,1.0
225.1,Harappa,M804 M324 M219,kō-kur-kur,mama anana-han,O My[RV] Killer (breath[Nir] destroyer[RV]),1.0
225.2,Harappa,M310 M033,kur-puli,ref:212.1,,1.0
228.1,Harappa,M324 M031 M172 M001 M032,kur-kai-kur-tōḷ-koL,he Ana,Oh Prāṇa[T],1.0
229.1,Harappa,M324 M031 M172 M001 M032,kur-kai-kur-tōḷ-koL,ref:228.1,,1.0
229.2,Harappa,M310 M032,kur-koL,ref:39.1,,1.0
232.1,Harappa,M086 M035,oru-po,para,O Supreme one[RV],1.0
233.1,Harappa,M086 M004 M327 M905,oru-kēḷ-kur-iṭam,nAna cara,"Protect (me) always[√नय् यङ्लुगन्ते लोट् 2s], O Wanderer[√चर् अच्]",1.0
234.1,Harappa,M868 M316 M276,gi-kur-kur,raRva,O delightful one[RV; SR: mayaskṛdhi][L>R],1.0
234.2,Harappa,M098 M004 M188 M073,āl-kēḷ-kur-kōṉ,mAyI,"The illusion maker[=Name of Rudra in śvetUp 4.10, Indra in RV 8.76.1]",1.0
235.1,Harappa,M117 M495,ar-iṭ,ara,O piercer (with arrows)[√ऋ अच्],1.0
236.1,Harappa,M060 M230,kāṇṭāmirukam-kur,asama,O unequalled one[RV],1.0
237.1,Harappa,M098 M090 M324 M050 M003,āl-aintu-kur-pār-kalam,jamanEH,By many consumings,1.0
240.1,Harappa,M001 M056,tōḷ-miN4,ref:108.1,,1.0
242.1,Harappa,M004,kēḷ,ref:182.1,,1.0
244.1,Harappa,M004 M384 M031 M098,kēḷ-kur-kai-āl,yaH A-BayaH,He who is fear personified[ŚBr; also Śiva],1.0
246.1,Harappa,M324 M154 M005 M002 M378,kur-kur-kōṉ-kuṉ-kur,rava-pAn,O Roaring[√रु अच्] protector[√पा शतृ],1.0
248.1,Harappa,M324 M554,kur-il,ref:23.1,,1.0
249.1,Harappa,M098 M182 M268,āl-kur-kur,saDI,"with Dhī[Dhī is wife of Rudra-Manyu, BhP]",1.0
