book,chapter,strophe,verse,n_words,padapatha_words_ws_joined
1,13,9,1,6,iḍā sarasvatī mahī tisraḥ devīḥ mayobhuvaḥ
1,13,9,2,3,barhiḥ sīdantu asridhaḥ
1,13,10,1,7,iha tvaṣṭāram agriyam viśva rūpam upa hvaye
1,13,10,2,3,asmākam astu kevalaḥ
1,13,11,1,6,ava sṛjā vanaspate deva devebhyaḥ haviḥ
1,13,11,2,4,pra dātuḥ astu cetanam
1,13,12,1,6,svāhā yajñam kṛṇotana indrāya yajvanaḥ gṛhe
1,13,12,2,4,tatra devāṁ upa hvaye
1,14,1,1,8,ā ebhiḥ agne duvaḥ giraḥ viśvebhiḥ soma pītaye
1,14,1,2,4,devebhiḥ yāhi yakṣi ca
1,14,2,1,8,ā tvā kaṇvāḥ ahūṣata gṛṇanti vipra te dhiyaḥ
1,14,2,2,4,devebhiḥ agne ā gahi
1,14,3,1,7,indra vāyū bṛhaspatim mitra agnim pūṣaṇam bhagam
1,14,3,2,3,ādityāt mārutam gaṇam
1,14,4,1,6,pra vaḥ bhriyante indavaḥ matsarāḥ mādayiṣṇavaḥ
1,14,4,2,3,drapsāḥ madhvaḥ camūṣadaḥ
1,14,5,1,6,īḍate tvām avasyavaḥ kaṇvāsaḥ vṛkta barhiṣaḥ
1,14,5,2,2,haviṣmantaḥ araṅkṛtaḥ
1,14,6,1,8,ghṛta pṛṣṭhāḥ manaḥ yujaḥ ye tvā vahanti vahnayaḥ
1,14,6,2,4,ā devān soma pītaye
1,14,7,1,6,tān yajatrāṁ ṛtāvṛdhaḥ agne patnīvatas kṛdhi
1,14,7,2,4,madhvaḥ su jihva pāyaya
1,14,8,1,8,ye yajatrāḥ ye īḍyāḥ te te pibantu jihvayā
1,14,8,2,4,madhoḥ agne vaṣaṭ kṛti
1,14,9,1,6,_ sūryasya rocanāt viśvān devāṁ uṣarbudhaḥ
1,14,9,2,4,vipraḥ hotā iha vakṣati
1,14,10,1,6,viśvebhiḥ somyam madhu agne indreṇa vāyunā
1,14,10,2,3,pibā mitrasya dhāmabhiḥ
1,14,11,1,7,tvam hotā manuḥ hitaḥ agne yajñeṣu sīdasi
1,14,11,2,5,sa imam naḥ adhvaram yaja
1,14,12,1,7,yukṣvā hi aruṣī rathe haritaḥ deva rohitaḥ
1,14,12,2,5,tābhiḥ devāṁ iha ā vaha
1,15,1,1,7,indra somam piba ṛtunā tvā viśantu indavaḥ
1,15,1,2,3,matsarāsaḥ tad okasaḥ
1,15,2,1,6,marutaḥ pibata ṛtunā potrāt yajñam punītana
1,15,2,2,4,yūyam hi ṣṭha sudānavaḥ
1,15,3,1,8,abhi yajñam gṛṇīhi naḥ gnāvas neṣṭar piba ṛtunā
1,15,3,2,5,tvam hi ratna dhāḥ asi
1,15,4,1,8,agne devāṁ iha ā vaha sādaya yoniṣu triṣu
1,15,4,2,4,pari bhūṣa piba ṛtunā
1,15,5,1,7,brāhmaṇāt indra rādhasaḥ piba somam ṛtūṃr anu
1,15,5,2,5,tava id hi sakhyam astṛtam
1,15,6,1,6,yuvam dakṣam dhṛta vrata mitrāvaruṇa dūḍabham
1,15,6,2,3,ṛtunā yajñam āśāthe
1,15,7,1,6,draviṇaḥ dāḥ draviṇasaḥ grāva hastāsaḥ adhvare
1,15,7,2,3,yajñeṣu devam īḍate
1,15,8,1,7,draviṇaḥ dāḥ dadātu naḥ vasūni yāni śṛṇvire
1,15,8,2,3,deveṣu tā vanāmahe
1,15,9,1,7,draviṇaḥ dāḥ pipīṣati juhota pra ca tiṣṭhata
1,15,9,2,3,neṣṭrāt ṛtubhiḥ iṣyata
1,15,10,1,7,yat tvā turīyam ṛtubhiḥ draviṇaḥ daḥ yajāmahe
1,15,10,2,5,adha sma naḥ dadiḥ bhava
1,15,11,1,7,aśvinā pibatam madhu dīdi agnī śuci vratā
1,15,11,2,3,ṛtunā yajña vāhasā
1,15,12,1,5,gārhapatyena santyaḥ ṛtunā yajñanīḥ asi
1,15,12,2,3,devān devayate yaja
1,16,1,1,7,ā tvā vahantu harayaḥ vṛṣaṇam soma pītaye
1,16,1,2,4,indra tvā sūra cakṣasaḥ
1,16,2,1,7,imāḥ dhānāḥ ghṛtasnuvaḥ harī iha upa vakṣataḥ
1,16,2,2,3,indram sukhatame rathe
1,16,3,1,6,indram prātar havāmahe indram prayati adhvare
1,16,3,2,3,indram somasya pītaye
1,16,4,1,8,upa naḥ sutam ā gahi haribhiḥ indra keśibhiḥ
1,16,4,2,4,sute hi tvā havāmahe
1,16,5,1,10,sa imam na stomam ā gahi upa idam savanam sutam
1,16,5,2,4,gauraḥ na tṛṣitaḥ piba
1,16,6,1,6,ime somāsaḥ indavaḥ sutāsaḥ adhi barhiṣi
1,16,6,2,4,tāṁ indra sahase piba
1,16,7,1,7,ayam te stomaḥ agriyaḥ hṛdispṛś astu śantamaḥ
1,16,7,2,4,athā somam sutam piba
1,16,8,1,7,viśvam id savanam sutam indraḥ madāya gacchati
1,16,8,2,3,vṛtrahā soma pītaye
1,16,9,1,9,sa imam naḥ kāmam ā pṛṇa gobhiḥ aśvaiḥ śatakrato
1,16,9,2,4,stavāma tvā su ādhyaḥ
1,17,1,1,6,indrāvaruṇayoḥ aham samrājoḥ avaḥ ā vṛṇe
1,17,1,2,4,tā naḥ mṛḍātaḥ īdṛśe
1,17,2,1,7,gantārā hi sthaḥ avase havam viprasya māvataḥ
1,17,2,2,2,dhartārā carṣaṇīnām
1,17,3,1,5,anukāmam tarpayethām indrāvaruṇa rāyaḥ ā
1,17,3,2,4,tā vām nediṣṭham īmahe
1,17,4,1,5,yuvāku hi śacīnām yuvāku sumatīnām
1,17,4,2,3,bhūyāma vāja dāvnām
1,17,5,1,5,indraḥ sahasra dāvnām varuṇaḥ śaṃsyānām
1,17,5,2,3,kratuḥ bhavati ukthyaḥ
1,17,6,1,8,tayoḥ id avasā vayam sanema ni ca dhīmahi
1,17,6,2,3,syāt uta prarecanam
1,17,7,1,6,indrāvaruṇa vām aham huve citrāya rādhase
1,17,7,2,4,asmān su jigyuṣaḥ kṛtam
1,17,8,1,7,indrāvaruṇa nū nu vām siṣāsantīṣu dhīṣu ā
1,17,8,2,3,asmabhyam śarma yacchatam
1,17,9,1,7,pra vām aśnotu suṣṭutiḥ indrāvaruṇa yām huve
1,17,9,2,3,yām ṛdhāthe sadhastutim
1,18,1,1,5,somānam svaraṇam kṛṇuhi brahmaṇas pate
1,18,1,2,3,kakṣīvantam yaḥ auśijaḥ
1,18,2,1,9,yaḥ revān yaḥ amīva hā vasu vid puṣṭi vardhanaḥ
1,18,2,2,5,sa naḥ siṣaktu yaḥ turaḥ
1,18,3,1,7,mā naḥ śaṃsaḥ raruṣaḥ dhūrtiḥ praṇak martyasya
1,18,3,2,4,rakṣā ṇaḥ brahmaṇas pate
1,18,4,1,9,sa ghā vīraḥ na riṣyati yam indraḥ brahmaṇas patiḥ
1,18,4,2,3,somaḥ hinoti martyam
1,18,5,1,8,tvam tam brahmaṇas pate somaḥ indraḥ ca martyam
1,18,5,2,3,dakṣiṇā pātu aṃhasaḥ
1,18,6,1,6,sadasas patim adbhutam priyam indrasya kāmyam
1,18,6,2,3,sanim medhām ayāsiṣam
1,18,7,1,7,yasmāt ṛte na sidhyati yajñaḥ vipaścitaḥ cana
1,18,7,2,4,sa dhīnām yogam invati
1,18,8,1,6,āt ṛdhnoti haviṣkṛtim prāñcam kṛṇoti adhvaram
1,18,8,2,3,hotrā deveṣu gacchati
1,18,9,1,4,narāśaṃsam sudhṛṣṭamam apaśyam saprathastamam
1,18,9,2,3,divaḥ na sadmamakhasam
1,19,1,1,7,prati tyam cārum adhvaram gopīthāya pra hūyase
