sign_id,numbering_system,description,wells_ids,mahadevan_ids,parpola_allographs,n_feature_dims,corpus_freq,start_rate,end_rate,internal_rate,in_corpus,source
P199,parpola_1982,"Two or three tall vertical strokes, with a small box off the right center of the second stroke",W058,,V384,1,0,0,0,0,False,mayig_features
P200,parpola_1982,"Tall box with horizontal hatching throughout, possibly a small handle off right hand side",W604|W605,M258,V054|V701,2,0,0,0,0,False,mayig_features
P201,parpola_1982,Vertical stroke with a small slightly downward horizontal stroke at the left middle,W065,,V052|V108,1,16,0.0625,0.0,0.9375,True,mayig_features
P202,parpola_1982,Vertical stroke with a triangular wing attached near the middle,W365|W367|W368,M402,V053|V582,2,87,0.3333,0.046,0.6207,True,mayig_features
P203,parpola_1982,Upside down 'Y' motif,,M126,V090|V698,0,0,0,0,0,False,mayig_features
P204,parpola_1982,"Simple lambda but reversed horizontally, and the leg may not be quite connected to the long stem",W061|W062|W063,M124|M125,V156|V119,2,77,0.0,0.2857,0.7143,True,mayig_features
P205,parpola_1982,"Prismed light rays, with opposite slanting on top vs bottom, more rays on bottom",W289|W290|W291|W292|W293|W294|W295|W296|W297|W299|W300|W301|W302|W303|W304|W305|W306,M180,V129|V233,5,32,0.0312,0.0625,0.9062,True,mayig_features
P206,parpola_1982,"Prismed lines like P205, but with a decoration on top. Possibly with an up and down caret attached at top right",W307|W308|W309,M181,V457|V078,2,1,0.0,0.0,1.0,True,mayig_features
P207,parpola_1982,"Tall triangle with no decoration, either isocolese or more horn-shaped",W490,,V349,2,5,0.0,0.6,0.4,True,mayig_features
P208,parpola_1982,"Tall triangle with vertical divider, either isocolese or more horn-shaped",W500,M209,V102|V703,1,17,0.0,0.0588,0.9412,True,mayig_features
P209,parpola_1982,"Tall triangle with vertical divider, horizontal hatching throughout, either isocolese or more horn-shaped",W502,M210,V103|V245,2,0,0,0,0,False,mayig_features
P210,parpola_1982,Tall isoceles triangle with horizontal stripes,W503,M204,V104|V223|V389|V732,1,71,0.0141,0.7042,0.2817,True,mayig_features
P211,parpola_1982,"Horizontally striped isocolese triange, with serifed T on top",W504,M206,V271|V260,1,10,0.4,0.0,0.6,True,mayig_features
P212,parpola_1982,"Horizontally striped isocolese triange, with serifed T on top, caged by four small vertical strokes",,M207,V048,1,0,0,0,0,False,mayig_features
P213,parpola_1982,"Horizontally striped isocolese triange, with serifed T on top, capped by a 'table' motif",W505,M208,V324,1,0,0,0,0,False,mayig_features
P214,parpola_1982,Two adjacent carets,,,V380|V775,0,0,0,0,0,False,mayig_features
P215,parpola_1982,"Three tall, thin isoceles triangles",W460,M230,V105|V312,2,46,0.0217,0.0435,0.9348,True,mayig_features
P216,parpola_1982,"Three short isoceles triangles, above three short isocoles triangles but pointed downward",W461,M231,V580,0,0,0,0,0,False,mayig_features
P217,parpola_1982,Isocolese triangle on top of vertical line (arrow? spear?),W520,M211,V095|V549,1,251,0.8446,0.012,0.1434,True,mayig_features
P218,parpola_1982,"Five pointed star, with lines completely connecting point to point",,,V679,0,0,0,0,0,False,mayig_features
P219,parpola_1982,"A 'K' with a vertical line connecting the bottom point, and the top right arm is a rectangle",,,V755,0,0,0,0,0,False,mayig_features
P221,parpola_1982,"Three triangles, one large isocoles pointing right on left, two small on right, all linked at the point of the left triangle",W455,M233,V040|V504,1,33,0.0606,0.2121,0.7273,True,mayig_features
P222,parpola_1982,"Three triangles, one large isocoles pointing right on left, two small on right, all linked at the point of the left triangle. Capped by a 'table' motif",W456,M234,V046|V422,1,0,0,0,0,False,mayig_features
