yajnadevam_glyph_id,registry_sign_id_yajnadevam,best_parpola_match,match_confidence,match_count,total_alignments,top3_parpola,review_status,method,source
831,Y0831,P268,1.0,1,1,P268:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
832,Y0832,P368,0.6667,2,3,P368:2 | P366:1,pending_confirmation,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
840,Y0840,P349,1.0,7,7,P349:7,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
844,Y0844,P352,0.5,1,2,P352:1 | P349:1,pending_confirmation,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
850,Y0850,P355,1.0,1,1,P355:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
853,Y0853,P359,1.0,2,2,P359:2,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
861,Y0861,P385,1.0,13,13,P385:13,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
864,Y0864,P393,1.0,1,1,P393:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
872,Y0872,P390,1.0,1,1,P390:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
877,Y0877,P382,1.0,1,1,P382:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
879,Y0879,P381,1.0,1,1,P381:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
880,Y0880,P384,1.0,2,2,P384:2,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
890,Y0890,P178,1.0,1,1,P178:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
892,Y0892,P182,0.5,1,2,P182:1 | P000:1,pending_confirmation,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
900,Y0900,P154,0.8571,6,7,P154:6 | P160:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
904,Y0904,P172,1.0,1,1,P172:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
906,Y0906,P174,1.0,3,3,P174:3,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
908,Y0908,P177,1.0,1,1,P177:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
920,Y0920,P154,0.5,3,6,P154:3 | P160:2 | P156:1,pending_confirmation,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
923,Y0923,P175,1.0,6,6,P175:6,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
932,Y0932,P341,1.0,1,1,P341:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
940,Y0940,P054,1.0,1,1,P054:1,confirmed,sequence_alignment_length_match,Yajnadevam indus-website + mayig CISI corpus alignment
