formula_id,sign_sequence,n_gram_size,proposed_reading,inscription_count,site_count,site_distribution,dominant_grammar_pattern,evidence_tier,caveats,is_failure_case
F081,M256 M188,2,?M256 + ?M188,37,4,"Mohenjo-daro(27), Harappa(8), Kalibangan(1), Rakhigarhi(1)",MMMI,HIGH,2/2 signs lack anchor readings; inconsistent grammar patterns (top pattern only 14%),True
F082,M615 M210,2,?M615 + ?M210,37,2,"Mohenjo-daro(35), Harappa(2)",MMMM,MEDIUM,2/2 signs lack anchor readings,True
F083,820 820 820 820,4,?820 + ?820 + ?820 + ?820,36,1,unknown(36),TTTTTT,MEDIUM,4/4 signs lack anchor readings,True
F084,394 394,2,kur + kur,36,1,unknown(36),MMMMM,MEDIUM,inconsistent grammar patterns (top pattern only 33%),True
F085,000 M324,2,?000 + ?M324,35,6,"Mohenjo-daro(14), Harappa(13), Dholavira(5), Chandigarh(1), Chanhu-daro(1)",?M,HIGH,2/2 signs lack anchor readings; inconsistent grammar patterns (top pattern only 20%),True
F086,M001 M324,2,?M001 + ?M324,35,5,"Mohenjo-daro(18), Harappa(10), Dholavira(3), Chanhu-daro(2), Lothal(2)",IMMIM,HIGH,2/2 signs lack anchor readings; inconsistent grammar patterns (top pattern only 14%),True
F087,M324 M032 M349,3,?M324 + ?M032 + ?M349,35,5,"Harappa(18), Mohenjo-daro(12), Lothal(2), Dholavira(2), Chanhu-daro(1)",MMM,HIGH,3/3 signs lack anchor readings; inconsistent grammar patterns (top pattern only 29%),True
F088,M324 M256 M188,3,?M324 + ?M256 + ?M188,35,4,"Mohenjo-daro(27), Harappa(6), Kalibangan(1), Rakhigarhi(1)",MMMI,HIGH,3/3 signs lack anchor readings; inconsistent grammar patterns (top pattern only 14%),True
F089,169 169 169,3,rā + rā + rā,34,1,unknown(34),MMMM,MEDIUM,,False
F090,527 527,2,?527 + ?527,33,1,unknown(33),MM,MEDIUM,2/2 signs lack anchor readings,True
F091,M316 M060,2,?M316 + ?M060,33,4,"Mohenjo-daro(23), Harappa(8), Allahdino(1), Dholavira(1)",MMMMIMI,HIGH,2/2 signs lack anchor readings; inconsistent grammar patterns (top pattern only 42%),True
F092,M086 M003,2,?M086 + ?M003,33,8,"Mohenjo-daro(15), Harappa(10), Kalibangan(3), Bhirrana(1), Chanhu-daro(1)",MMIM,HIGH,2/2 signs lack anchor readings; inconsistent grammar patterns (top pattern only 42%),True
F093,M033 M310,2,?M033 + ?M310,33,2,"Harappa(32), Mohenjo-daro(1)",IM,MEDIUM,2/2 signs lack anchor readings,True
F094,M324 M009 M092,3,?M324 + ?M009 + ?M092,33,4,"Mohenjo-daro(25), Harappa(6), Unknown(1), Gola Dhoro (Bagasra)(1)",MIMIM,HIGH,3/3 signs lack anchor readings; inconsistent grammar patterns (top pattern only 12%),True
F095,M256 M188 M073,3,?M256 + ?M188 + ?M073,33,4,"Mohenjo-daro(24), Harappa(7), Kalibangan(1), Rakhigarhi(1)",MMMI,HIGH,3/3 signs lack anchor readings; inconsistent grammar patterns (top pattern only 15%),True
F096,M033 M316 M060,3,?M033 + ?M316 + ?M060,32,4,"Mohenjo-daro(23), Harappa(7), Allahdino(1), Dholavira(1)",MMMMIMI,HIGH,3/3 signs lack anchor readings; inconsistent grammar patterns (top pattern only 44%),True
F097,M086 M061,2,?M086 + ?M061,32,2,"Mohenjo-daro(27), Harappa(5)",MMMMMMM,MEDIUM,2/2 signs lack anchor readings; inconsistent grammar patterns (top pattern only 44%),True
F098,256 256,2,kur + kur,31,1,unknown(31),MM,MEDIUM,,False
F099,416 416 416,3,na + na + na,31,1,unknown(31),MMMMMMM,MEDIUM,inconsistent grammar patterns (top pattern only 32%),True
F100,M268 M031,2,?M268 + ?M031,31,4,"Mohenjo-daro(27), Harappa(2), Dholavira(1), Janabiyah(1)",MI,HIGH,2/2 signs lack anchor readings; inconsistent grammar patterns (top pattern only 26%),True
